Transaction ID,Client ID,Date,Company Name,Location - Latitude,Location - Longitude,Transaction Amount
TXN001,CL001,2024-09-01,EcoMarket,40.7128,-74.006,45.5
TXN002,CL002,2024-09-03,GreenCafe,34.0522,-118.2437,12.75
TXN003,CL001,2024-09-04,GreenTech Store,51.5074,-0.1278,130
TXN004,CL003,2024-09-06,SolarEnergy Co.,48.8566,2.3522,220.3
TXN005,CL002,2024-09-08,OrganicGroceries,52.52,13.405,85.9
TXN006,CL003,2024-09-10,EcoLodge Resort,37.7749,-122.4194,299.99
TXN007,CL001,2024-09-12,GreenPower Tech,35.6895,139.6917,150.25
TXN008,CL002,2024-09-15,GreenLife Clothing,55.7558,37.6173,75.6
TXN009,CL003,2024-09-18,ZeroWaste Shop,40.7306,-73.9352,60.1
TXN010,CL001,2024-09-20,RecycleUp Store,41.9028,12.4964,33.4
